deg,mos_pred,model
prompt_1221-135766-0014_gt_7729-102255-0019_ar_epoch-40pt_nar_checkpoint-100000pt_2023_08_15_01_25_58_0.wav,2.234109401702881,NISQA_TTS_v1
prompt_1221-135766-0014_gt_7729-102255-0021_ar_epoch-40pt_nar_checkpoint-100000pt_2023_08_15_01_25_58_0.wav,2.5785396099090576,NISQA_TTS_v1
prompt_1221-135766-0014_gt_7729-102255-0036_ar_epoch-40pt_nar_checkpoint-100000pt_2023_08_15_01_25_58_0.wav,4.851446151733398,NISQA_TTS_v1
prompt_1320-122612-0008_gt_1221-135766-0002_ar_epoch-40pt_nar_checkpoint-100000pt_2023_08_15_01_25_58_0.wav,3.295219659805298,NISQA_TTS_v1
prompt_1320-122612-0008_gt_1221-135766-0004_ar_epoch-40pt_nar_checkpoint-100000pt_2023_08_15_01_25_58_0.wav,4.099230766296387,NISQA_TTS_v1
prompt_1320-122612-0008_gt_1221-135766-0007_ar_epoch-40pt_nar_checkpoint-100000pt_2023_08_15_01_25_58_0.wav,2.435493230819702,NISQA_TTS_v1
prompt_1320-122612-0008_gt_1221-135766-0014_ar_epoch-40pt_nar_checkpoint-100000pt_2023_08_15_01_25_58_0.wav,4.300026893615723,NISQA_TTS_v1
prompt_1320-122612-0008_gt_1320-122612-0004_ar_epoch-40pt_nar_checkpoint-100000pt_2023_08_15_01_25_58_0.wav,4.018409729003906,NISQA_TTS_v1
prompt_1320-122612-0008_gt_1320-122612-0005_ar_epoch-40pt_nar_checkpoint-100000pt_2023_08_15_01_25_58_0.wav,4.102684497833252,NISQA_TTS_v1
prompt_1320-122612-0008_gt_1320-122612-0007_ar_epoch-40pt_nar_checkpoint-100000pt_2023_08_15_01_25_58_0.wav,3.7644870281219482,NISQA_TTS_v1
prompt_1320-122612-0008_gt_1320-122612-0008_ar_epoch-40pt_nar_checkpoint-100000pt_2023_08_15_01_25_58_0.wav,4.361076831817627,NISQA_TTS_v1
prompt_1320-122612-0008_gt_1580-141084-0034_ar_epoch-40pt_nar_checkpoint-100000pt_2023_08_15_01_25_58_0.wav,3.9344112873077393,NISQA_TTS_v1
prompt_1320-122612-0008_gt_1580-141084-0040_ar_epoch-40pt_nar_checkpoint-100000pt_2023_08_15_01_25_58_0.wav,3.667022466659546,NISQA_TTS_v1
prompt_1320-122612-0008_gt_1580-141084-0047_ar_epoch-40pt_nar_checkpoint-100000pt_2023_08_15_01_25_58_0.wav,3.092618703842163,NISQA_TTS_v1
prompt_1320-122612-0008_gt_1580-141084-0048_ar_epoch-40pt_nar_checkpoint-100000pt_2023_08_15_01_25_58_0.wav,3.8637166023254395,NISQA_TTS_v1
