deg,mos_pred,model,average_mos
valle_ours_61-70968-0000_2023_07_13_15_39_09_0.wav,2.7545881271362305,NISQA_TTS_v1,3.241102676950652
5105/28240/valle_ours_5105-28240-0012_2023_06_25_05_46_30_2.wav,2.874746799468994,NISQA_TTS_v1,3.241102676950652
5105/28240/valle_ours_5105-28240-0004_2023_06_25_05_42_04_0.wav,2.724141836166382,NISQA_TTS_v1,3.241102676950652
5105/28240/valle_ours_5105-28240-0022_2023_06_25_05_50_47_2.wav,3.283177137374878,NISQA_TTS_v1,3.241102676950652
5105/28240/valle_ours_5105-28240-0017_2023_06_25_05_49_03_1.wav,2.5915894508361816,NISQA_TTS_v1,3.241102676950652
5105/28240/valle_ours_5105-28240-0012_2023_06_25_05_45_52_0.wav,4.250847339630127,NISQA_TTS_v1,3.241102676950652
5105/28240/valle_ours_5105-28240-0007_2023_06_25_05_44_20_0.wav,3.2927072048187256,NISQA_TTS_v1,3.241102676950652
5105/28240/valle_ours_5105-28240-0004_2023_06_25_05_42_41_2.wav,2.5291922092437744,NISQA_TTS_v1,3.241102676950652
5105/28240/valle_ours_5105-28240-0011_2023_06_25_05_45_36_2.wav,3.200176239013672,NISQA_TTS_v1,3.241102676950652
5105/28240/valle_ours_5105-28240-0005_2023_06_25_05_43_10_0.wav,3.4551172256469727,NISQA_TTS_v1,3.241102676950652
5105/28240/valle_ours_5105-28240-0005_2023_06_25_05_44_06_2.wav,3.5555479526519775,NISQA_TTS_v1,3.241102676950652
5105/28240/valle_ours_5105-28240-0012_2023_06_25_05_46_09_1.wav,2.215165376663208,NISQA_TTS_v1,3.241102676950652
5105/28240/valle_ours_5105-28240-0024_2023_06_25_05_51_42_1.wav,3.6838841438293457,NISQA_TTS_v1,3.241102676950652
5105/28240/valle_ours_5105-28240-0024_2023_06_25_05_52_05_2.wav,3.961869955062866,NISQA_TTS_v1,3.241102676950652
5105/28240/valle_ours_5105-28240-0003_2023_06_25_05_41_14_0.wav,3.7420237064361572,NISQA_TTS_v1,3.241102676950652
5105/28240/valle_ours_5105-28240-0017_2023_06_25_05_48_52_0.wav,3.1040050983428955,NISQA_TTS_v1,3.241102676950652
5105/28240/valle_ours_5105-28240-0019_2023_06_25_05_49_31_0.wav,3.0034162998199463,NISQA_TTS_v1,3.241102676950652
5105/28240/valle_ours_5105-28240-0015_2023_06_25_05_48_02_2.wav,3.5010411739349365,NISQA_TTS_v1,3.241102676950652
5105/28240/valle_ours_5105-28240-0016_2023_06_25_05_48_26_1.wav,3.422908067703247,NISQA_TTS_v1,3.241102676950652
5105/28240/valle_ours_5105-28240-0002_2023_06_25_05_40_49_1.wav,3.093959331512451,NISQA_TTS_v1,3.241102676950652
5105/28240/valle_ours_5105-28240-0002_2023_06_25_05_41_02_2.wav,3.599381685256958,NISQA_TTS_v1,3.241102676950652
5105/28240/valle_ours_5105-28240-0016_2023_06_25_05_48_39_2.wav,2.3185107707977295,NISQA_TTS_v1,3.241102676950652
5105/28240/valle_ours_5105-28240-0015_2023_06_25_05_47_29_1.wav,3.20037841796875,NISQA_TTS_v1,3.241102676950652
5105/28240/valle_ours_5105-28240-0019_2023_06_25_05_50_02_2.wav,2.7008745670318604,NISQA_TTS_v1,3.241102676950652
5105/28240/valle_ours_5105-28240-0024_2023_06_25_05_51_20_0.wav,3.8148133754730225,NISQA_TTS_v1,3.241102676950652
5105/28240/valle_ours_5105-28240-0017_2023_06_25_05_49_15_2.wav,3.0474910736083984,NISQA_TTS_v1,3.241102676950652
5105/28240/valle_ours_5105-28240-0000_2023_06_25_05_39_53_0.wav,3.6523003578186035,NISQA_TTS_v1,3.241102676950652
5105/28240/valle_ours_5105-28240-0011_2023_06_25_05_45_03_0.wav,2.708611011505127,NISQA_TTS_v1,3.241102676950652
5105/28240/valle_ours_5105-28240-0019_2023_06_25_05_49_44_1.wav,2.8981642723083496,NISQA_TTS_v1,3.241102676950652
5105/28240/valle_ours_5105-28240-0000_2023_06_25_05_40_22_2.wav,3.290205717086792,NISQA_TTS_v1,3.241102676950652
5105/28240/valle_ours_5105-28240-0007_2023_06_25_05_44_36_1.wav,3.3569772243499756,NISQA_TTS_v1,3.241102676950652
