deg,mos_pred,model,average_mos
5105/28240/valle_ours_5105-28240-0012_2023_10_12_23_19_48_1.wav,3.8840911388397217,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0000_2023_10_12_23_19_34_1.wav,3.995410680770874,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0004_2023_10_12_23_19_57_0.wav,2.955152750015259,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0002_2023_10_12_23_21_36_1.wav,2.4108731746673584,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0003_2023_10_12_23_18_58_2.wav,2.3262135982513428,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0016_2023_10_12_23_20_15_1.wav,3.8848063945770264,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0024_2023_10_12_23_22_12_2.wav,4.496870994567871,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0000_2023_10_12_23_19_39_2.wav,3.383580207824707,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0005_2023_10_12_23_20_44_2.wav,4.171610355377197,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0000_2023_10_12_23_19_30_0.wav,3.672128915786743,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0002_2023_10_12_23_21_33_0.wav,3.396796941757202,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0011_2023_10_12_23_21_29_2.wav,2.4198520183563232,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0007_2023_10_12_23_19_11_2.wav,3.017335891723633,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0011_2023_10_12_23_21_22_1.wav,3.9668772220611572,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0007_2023_10_12_23_19_03_0.wav,3.0615837574005127,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0019_2023_10_12_23_21_12_2.wav,4.642789363861084,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0015_2023_10_12_23_22_38_2.wav,3.8504602909088135,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0012_2023_10_12_23_19_43_0.wav,4.0580573081970215,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0005_2023_10_12_23_20_29_0.wav,3.9348535537719727,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0017_2023_10_12_23_20_52_1.wav,2.5488688945770264,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0022_2023_10_12_23_19_15_0.wav,3.0358946323394775,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0002_2023_10_12_23_21_38_2.wav,2.7536463737487793,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0005_2023_10_12_23_20_37_1.wav,4.355269432067871,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0003_2023_10_12_23_18_49_0.wav,2.1218507289886475,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0019_2023_10_12_23_21_06_1.wav,4.767521381378174,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0022_2023_10_12_23_19_19_1.wav,2.6320838928222656,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0016_2023_10_12_23_20_19_2.wav,4.355029106140137,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0015_2023_10_12_23_22_30_1.wav,4.1838555335998535,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0007_2023_10_12_23_19_07_1.wav,4.612914562225342,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0019_2023_10_12_23_21_02_0.wav,4.335017681121826,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0024_2023_10_12_23_21_49_0.wav,4.474483013153076,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0024_2023_10_12_23_22_01_1.wav,4.387122631072998,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0017_2023_10_12_23_20_48_0.wav,3.627941131591797,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0022_2023_10_12_23_19_25_2.wav,4.23486852645874,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0003_2023_10_12_23_18_53_1.wav,2.70257830619812,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0017_2023_10_12_23_20_57_2.wav,4.413198947906494,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0004_2023_10_12_23_20_02_1.wav,2.708277463912964,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0015_2023_10_12_23_22_22_0.wav,3.587432622909546,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0012_2023_10_12_23_19_52_2.wav,4.536863327026367,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0011_2023_10_12_23_21_16_0.wav,3.4649603366851807,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0016_2023_10_12_23_20_11_0.wav,2.414599657058716,NISQA_TTS_v1,3.6197837267490414
5105/28240/valle_ours_5105-28240-0004_2023_10_12_23_20_08_2.wav,3.7804932594299316,NISQA_TTS_v1,3.6197837267490414
5105/28241/valle_ours_5105-28241-0000_2023_10_12_23_25_32_2.wav,4.481817722320557,NISQA_TTS_v1,3.6197837267490414
5105/28241/valle_ours_5105-28241-0000_2023_10_12_23_25_26_1.wav,4.4655537605285645,NISQA_TTS_v1,3.6197837267490414
5105/28241/valle_ours_5105-28241-0009_2023_10_12_23_23_20_2.wav,2.797961473464966,NISQA_TTS_v1,3.6197837267490414
5105/28241/valle_ours_5105-28241-0013_2023_10_12_23_23_31_2.wav,4.1893439292907715,NISQA_TTS_v1,3.6197837267490414
5105/28241/valle_ours_5105-28241-0000_2023_10_12_23_25_19_0.wav,4.03741455078125,NISQA_TTS_v1,3.6197837267490414
5105/28241/valle_ours_5105-28241-0008_2023_10_12_23_22_54_1.wav,4.3377766609191895,NISQA_TTS_v1,3.6197837267490414
5105/28241/valle_ours_5105-28241-0019_2023_10_12_23_25_02_0.wav,4.465836524963379,NISQA_TTS_v1,3.6197837267490414
5105/28241/valle_ours_5105-28241-0008_2023_10_12_23_23_03_2.wav,4.197848796844482,NISQA_TTS_v1,3.6197837267490414
5105/28241/valle_ours_5105-28241-0013_2023_10_12_23_23_23_0.wav,3.125349283218384,NISQA_TTS_v1,3.6197837267490414
5105/28241/valle_ours_5105-28241-0005_2023_10_12_23_24_23_2.wav,4.3517279624938965,NISQA_TTS_v1,3.6197837267490414
5105/28241/valle_ours_5105-28241-0012_2023_10_12_23_24_41_2.wav,4.755970001220703,NISQA_TTS_v1,3.6197837267490414
5105/28241/valle_ours_5105-28241-0005_2023_10_12_23_24_05_0.wav,4.152933120727539,NISQA_TTS_v1,3.6197837267490414
5105/28241/valle_ours_5105-28241-0008_2023_10_12_23_22_46_0.wav,4.5908589363098145,NISQA_TTS_v1,3.6197837267490414
5105/28241/valle_ours_5105-28241-0019_2023_10_12_23_25_13_2.wav,4.108302116394043,NISQA_TTS_v1,3.6197837267490414
5105/28241/valle_ours_5105-28241-0016_2023_10_12_23_24_46_0.wav,4.114822864532471,NISQA_TTS_v1,3.6197837267490414
5105/28241/valle_ours_5105-28241-0006_2023_10_12_23_23_47_1.wav,3.1156864166259766,NISQA_TTS_v1,3.6197837267490414
5105/28241/valle_ours_5105-28241-0013_2023_10_12_23_23_27_1.wav,3.5892693996429443,NISQA_TTS_v1,3.6197837267490414
5105/28241/valle_ours_5105-28241-0009_2023_10_12_23_23_07_0.wav,3.5399789810180664,NISQA_TTS_v1,3.6197837267490414
5105/28241/valle_ours_5105-28241-0009_2023_10_12_23_23_13_1.wav,4.102955341339111,NISQA_TTS_v1,3.6197837267490414
5105/28241/valle_ours_5105-28241-0019_2023_10_12_23_25_08_1.wav,4.347902297973633,NISQA_TTS_v1,3.6197837267490414
5105/28241/valle_ours_5105-28241-0016_2023_10_12_23_24_51_1.wav,4.095738410949707,NISQA_TTS_v1,3.6197837267490414
5105/28241/valle_ours_5105-28241-0012_2023_10_12_23_24_35_1.wav,3.258859872817993,NISQA_TTS_v1,3.6197837267490414
5105/28241/valle_ours_5105-28241-0006_2023_10_12_23_23_39_0.wav,3.002833604812622,NISQA_TTS_v1,3.6197837267490414
5105/28241/valle_ours_5105-28241-0006_2023_10_12_23_23_55_2.wav,3.828911542892456,NISQA_TTS_v1,3.6197837267490414
5105/28241/valle_ours_5105-28241-0012_2023_10_12_23_24_29_0.wav,3.895494222640991,NISQA_TTS_v1,3.6197837267490414
5105/28241/valle_ours_5105-28241-0005_2023_10_12_23_24_14_1.wav,4.315515041351318,NISQA_TTS_v1,3.6197837267490414
5105/28241/valle_ours_5105-28241-0016_2023_10_12_23_24_57_2.wav,3.908759117126465,NISQA_TTS_v1,3.6197837267490414
5105/28233/valle_ours_5105-28233-0006_2023_10_12_23_26_45_0.wav,4.002051830291748,NISQA_TTS_v1,3.6197837267490414
5105/28233/valle_ours_5105-28233-0001_2023_10_12_23_25_56_2.wav,3.6845595836639404,NISQA_TTS_v1,3.6197837267490414
5105/28233/valle_ours_5105-28233-0002_2023_10_12_23_26_30_1.wav,3.7450010776519775,NISQA_TTS_v1,3.6197837267490414
5105/28233/valle_ours_5105-28233-0004_2023_10_12_23_25_59_0.wav,3.2141969203948975,NISQA_TTS_v1,3.6197837267490414
5105/28233/valle_ours_5105-28233-0004_2023_10_12_23_26_03_1.wav,3.5829296112060547,NISQA_TTS_v1,3.6197837267490414
5105/28233/valle_ours_5105-28233-0006_2023_10_12_23_26_54_2.wav,3.8766419887542725,NISQA_TTS_v1,3.6197837267490414
5105/28233/valle_ours_5105-28233-0002_2023_10_12_23_26_40_2.wav,3.944711208343506,NISQA_TTS_v1,3.6197837267490414
5105/28233/valle_ours_5105-28233-0000_2023_10_12_23_25_43_2.wav,3.5780222415924072,NISQA_TTS_v1,3.6197837267490414
5105/28233/valle_ours_5105-28233-0000_2023_10_12_23_25_39_1.wav,3.3580081462860107,NISQA_TTS_v1,3.6197837267490414
5105/28233/valle_ours_5105-28233-0002_2023_10_12_23_26_18_0.wav,2.9052298069000244,NISQA_TTS_v1,3.6197837267490414
5105/28233/valle_ours_5105-28233-0006_2023_10_12_23_26_50_1.wav,3.6586697101593018,NISQA_TTS_v1,3.6197837267490414
5105/28233/valle_ours_5105-28233-0000_2023_10_12_23_25_36_0.wav,3.5459752082824707,NISQA_TTS_v1,3.6197837267490414
5105/28233/valle_ours_5105-28233-0004_2023_10_12_23_26_08_2.wav,3.209378719329834,NISQA_TTS_v1,3.6197837267490414
5105/28233/valle_ours_5105-28233-0001_2023_10_12_23_25_47_0.wav,4.5904765129089355,NISQA_TTS_v1,3.6197837267490414
5105/28233/valle_ours_5105-28233-0001_2023_10_12_23_25_51_1.wav,3.8121323585510254,NISQA_TTS_v1,3.6197837267490414
